path,suffix,matched_terms,snippet
scripts\stage11_lp_apcd_audit_h500_dimer_actual_library_stage11_2c.py,.py,power,"L9: BEST_FIELDS=['bin_deg','candidate_count','best_case_id','projection_selectivity_ratio','selected_power','blocked_input_total_power','selected_polarization_purity','matrix_projection_error_norm','actual_common_phase_deg', | L29: if selected<0.10: status='selected_power_too_low'; fm='selected_power_too_low' | L36: return {**r,'actual_nearest_bin_deg':str(b),'actual_common_phase_deg':fmt(phase),'actual_common_phase_error_deg':fmt(e),'selected_power':fmt(selected),'blocked_input_total_power':fmt(blocked),'projection_selectivity_rati | L47: best=[]; lines=['# Stage11-2C H500 Actual Dimer Projection-Phase 6-bin Summary','', 'Merged 2A + 2B + 2C real H500 dimer FDTD. Bins use selected-channel actual common phase angle(t_xx).','', '| bin_deg | candidate_count  | L50: if x: best.append({'bin_deg':str(b),'candidate_count':str(len(sub)),'best_case_id':x['dimer_case_id'],'projection_selectivity_ratio':x['projection_selectivity_ratio'],'selected_power':x['selected_power'],'blocked_input_t | L51: lines.append(f""| {b} | {len(sub)} | {x['dimer_case_id'] if x else ''} | {x['projection_selectivity_ratio'] if x else ''} | {x['selected_power'] if x else ''} | {x['blocked_input_total_power'] if x else ''} | {x['selected | L58: if r['usable_status'].startswith('actual_dimer_usable'): gap.append(f""- {r['bin_deg']} deg: usable via {r['best_case_id']}, ratio={r['projection_selectivity_ratio']}, selected_power={r['selected_power']}, matrix_error={r"
scripts\stage11_lp_apcd_audit_h500_dimer_final_library_stage11_2d.py,.py,power,"L9: FIELDS=['bin_deg','candidate_count','best_case_id','projection_selectivity_ratio','selected_power','blocked_input_total_power','selected_polarization_purity','matrix_projection_error_norm','actual_common_phase_deg','actu | L28: if selected<0.10: status='selected_power_too_low'; fm='selected_power_too_low' | L35: return {**r,'actual_nearest_bin_deg':str(b),'actual_common_phase_deg':fmt(phase),'actual_common_phase_error_deg':fmt(e),'selected_power':fmt(selected),'blocked_input_total_power':fmt(blocked),'projection_selectivity_rati | L45: best=[]; lines=['# Stage11-2D H500 Final Actual Dimer Projection-Phase 6-bin Summary','', 'Merged 2A + 2B + 2C + 2D real H500 dimer FDTD. Bins use selected-channel actual common phase angle(t_xx).','', '| bin_deg | candi | L48: if x: best.append({'bin_deg':str(b),'candidate_count':str(len(sub)),'best_case_id':x['dimer_case_id'],'projection_selectivity_ratio':x['projection_selectivity_ratio'],'selected_power':x['selected_power'],'blocked_input_t | L49: lines.append(f""| {b} | {len(sub)} | {x['dimer_case_id'] if x else ''} | {x['projection_selectivity_ratio'] if x else ''} | {x['selected_power'] if x else ''} | {x['blocked_input_total_power'] if x else ''} | {x['selected | L56: if r['usable_status'].startswith('actual_dimer_usable'): gap.append(f""- {r['bin_deg']} deg: usable via {r['best_case_id']}, ratio={r['projection_selectivity_ratio']}, selected_power={r['selected_power']}, matrix_error={r"
scripts\stage11_lp_apcd_audit_h500_dimer_placement_patch_stage11_2b.py,.py,power,"L28: if m['selected_power'] < 0.10: return 'low_selected_power' | L39: if status == 'low_selected_power': return 'selected_power_too_low' | L48: m={'actual_nearest_bin_deg':b,'actual_common_phase_deg':phase,'actual_common_phase_error_deg':e,'selected_power':selected,'x_input_cross_leak_power':xcross,'y_input_x_leak_power':yx,'y_input_y_leak_power':yy,'blocked_inp | L57: return {'dimer_case_id':row.get('dimer_case_id',''),'original_static_bin_deg':get_bin(row),'actual_nearest_bin_deg':str(m['actual_nearest_bin_deg']),'actual_common_phase_deg':fmt(m['actual_common_phase_deg']),'actual_com | L58: FIELDS=['dimer_case_id','original_static_bin_deg','actual_nearest_bin_deg','actual_common_phase_deg','actual_common_phase_error_deg','t_xx_amp','t_xx_phase_deg','t_yx_amp','t_yx_phase_deg','t_xy_amp','t_xy_phase_deg','t_ | L78: BEST_FIELDS=['bin_deg','candidate_count','best_case_id','source','projection_selectivity_ratio','selected_power','selected_polarization_purity','matrix_projection_error_norm','actual_common_phase_deg','actual_common_phas | L86: lines=['# Stage11-2B Revised H500 Dimer Placement Patch 6-bin Summary','', 'This combines original and patch dimers. Bins use selected-channel actual common phase angle(t_xx).','', '| bin_deg | candidate_count | best_cas | L90: if x: best.append({'bin_deg':str(b),'candidate_count':str(len(sub)),'best_case_id':x['dimer_case_id'],'source':x['source'],'projection_selectivity_ratio':x['projection_selectivity_ratio'],'selected_power':x['selected_pow"
scripts\stage11_lp_apcd_audit_h500_dimer_stage11_2a.py,.py,transmission;power,"L17: ""bin_deg"", ""best_dimer_case_id"", ""source_pair_id"", ""dimer_selectivity_ratio"", ""target_x_power"", | L54: -f(r.get(""target_x_power"")), | L77: if f(row.get(""target_x_power"")) < 0.10: | L78: reasons.append(""target transmission too low"") | L94: ""| bin_deg | candidate_count | best_dimer_case_id | source_pair_id | selectivity | target_x_power | purity_x | output_phase | phase_error_vs_static | loose | strict | status |"", | L107: f""| {bin_deg} | {len(subset)} | {best['dimer_case_id']} | {best['source_pair_id']} | {best.get('dimer_selectivity_ratio','')} | {best.get('target_x_power','')} | {best.get('polarization_purity_x','')} | {best.get('dimer_ | L115: ""target_x_power"": best.get(""target_x_power"", """"),"
scripts\stage11_lp_apcd_build_j2_inventory.py,.py,transmission;power,"L167: tx_power = as_float(first_value(row, [""T_x"", ""Tx"", ""x_power"", ""transmission_x""])) | L168: tx_amp = math.sqrt(max(tx_power, 0.0)) if not math.isnan(tx_power) else math.nan | L170: ty_power = as_float(first_value(row, [""T_y"", ""Ty"", ""y_power"", ""transmission_y""])) | L171: ty_amp = math.sqrt(max(ty_power, 0.0)) if not math.isnan(ty_power) else math.nan"
scripts\stage11_lp_apcd_diagnose_h500_120_selectivity_stage11_2g.py,.py,power,"L42: ""selected_x_power"", | L70: ""selected_x_power"", | L167: selected = as_float(row.get(""selected_power"", row.get(""target_x_power""))) | L170: leakage = as_float(row.get(""blocked_input_total_power"", row.get(""y_input_total_leak_power""))) | L196: ""selected_x_power"": selected, | L212: ""selected_x_power"", | L245: ""top_120_by_low_leakage_excess"": sorted(rows, key=lambda r: (float(r[""leakage_excess""]), float(r[""phase_err_to_120_deg""]), -float(r[""selected_x_power""])))[:25], | L251: -float(r[""selected_x_power""]),"
scripts\stage11_lp_apcd_freeze_h500_actual_dimer_6bin_stage11_2i.py,.py,power,"L33: ""selected_x_power"", | L52: ""selected_x_power"", | L146: selected = flt(row.get(""selected_x_power"", row.get(""selected_power"", row.get(""target_x_power"")))) | L149: leakage = flt(row.get(""blocked_y_leakage"", row.get(""blocked_input_total_power"", row.get(""y_input_total_leak_power"")))) | L163: ""selected_x_power"": selected, | L177: ""selected_x_power"": selected, | L193: and float(row[""selected_x_power""]) >= 0.10 | L204: -float(row[""selected_x_power""]),"
scripts\stage11_lp_apcd_frozen_sixbin_449_451_runner_stage11_3b1.py,.py,dipole,"L171: ""- No K=6/metagrating, finite patch, dipole source, DBR, RCLED, or Stage10 CP files touched."", | L212: print(""boundary=h500_frozen_sixbin_single_dimer_449_451_only_no_k6_no_stage10_cp_no_finite_patch_no_dipole_no_dbr_no_rcled"")"
scripts\stage11_lp_apcd_generate_h500_dimer_final_gap_patch_stage11_2d.py,.py,power,"L39: if r['target_actual_bin_deg']=='240': return ['x_pair','diag_pair'],[80,100,120,140],[-30,-15,0,15,30],[False,True],2,'reduce blocked_input_total_power and restore projection matrix'"
scripts\stage11_lp_apcd_generate_h500_dimer_placement_patch_stage11_2b.py,.py,power,"L41: if r['failure_mode']=='projection_matrix_broken_y_leakage': return ('B','restore projection matrix by reducing blocked y leakage','reduce blocked_input_total_power',['x_pair','diag_pair'],[60,80,100],[-20,0,20],[False,Tr | L42: if r['failure_mode']=='selected_power_too_low': return ('C','source pair replacement recommended; diagnostic placement only','check whether placement recovers selected power',['diag_pair'],[60,80],[0],[False,True],2)"
scripts\stage11_lp_apcd_generate_h500_dimer_validation_stage11_2a.py,.py,power,"L43: ""static_predicted_ratio"", ""static_phase_error_deg"", ""static_output_phase_deg"", ""static_target_x_power"", | L44: ""static_leak_y_power"", ""priority"", ""notes"", | L159: -f(row.get(""target_x_power"")), | L251: ""static_target_x_power"": pair.get(""target_x_power"", """"), | L252: ""static_leak_y_power"": pair.get(""leak_y_power"", """"),"
scripts\stage11_lp_apcd_generate_h500_gap_closure_stage11_1e.py,.py,dimension,L228: # Existing measured dimensions to avoid exact reruns when geometry metadata is known.
scripts\stage11_lp_apcd_merge_and_audit_stage11_1d.py,.py,power,"L29: ""s1_s2_phase_mismatch_deg"", ""target_x_amp"", ""leak_y_amp"", ""target_x_power"", ""leak_y_power"", | L31: ""ratio_pass_strong"", ""target_power_pass"", ""j1_valid_loose"", ""j1_valid_strict"", ""j2_valid_loose"", | L155: target_power = target_amp * target_amp | L156: leak_power = leak_amp * leak_amp | L157: ratio = target_power / max(leak_power, EPS) | L178: target_pass = target_power >= 0.20 | L186: reason = ""same-height H500/H600, J1/J2 loose pass, strict phase, strict ratio, target power pass"" | L195: reason = ""fails one or more phase, ratio, target power, J1/J2 validity, or height constraints"""
scripts\stage11_lp_apcd_merge_h500_audit_stage11_1e.py,.py,power,"L44: ""target_x_amp"", ""leak_y_amp"", ""target_x_power"", ""leak_y_power"", ""predicted_ratio"", | L46: ""excellent_candidate"", ""target_power_pass"", ""j1_valid_loose"", ""j1_valid_strict"", ""j2_valid_loose"", | L53: ""target_x_power"", ""leak_y_power"", ""s1_amp"", ""s2_amp"", ""s1_phase_deg"", ""s2_phase_deg"", | L178: target_power = target_amp * target_amp | L179: leak_power = leak_amp * leak_amp | L180: ratio = target_power / max(leak_power, EPS) | L196: excellent = ratio >= 20 and phase_error <= 5 and target_power >= 0.20 | L197: target_pass = target_power >= 0.20"
scripts\stage11_lp_apcd_pairing_audit_height_constrained.py,.py,power,"L46: ""target_x_power"", | L47: ""leak_y_power"", | L54: ""target_power_pass"", | L194: target_power = target_amp * target_amp | L195: leak_power = leak_amp * leak_amp | L196: ratio = target_power / max(leak_power, EPS) | L221: target_pass = target_power >= 0.20 | L229: reason = ""fabrication-compatible, phase strict, ratio strict, and target power pass"""
scripts\stage11_lp_apcd_pairing_static.py,.py,power,"L37: ""target_x_power"", | L38: ""leak_y_power"", | L60: ""target_x_power"", | L61: ""leak_y_power"", | L230: target_power = target_amp * target_amp | L231: leak_power = leak_amp * leak_amp | L232: ratio = target_power / max(leak_power, EPS) | L263: ""target_x_power"": fmt(target_power),"
scripts\stage11_lp_apcd_rebin_h500_dimer_actual_phase_stage11_2b.py,.py,power,"L28: if m['selected_power'] < 0.10: return 'low_selected_power' | L39: if status == 'low_selected_power': return 'selected_power_too_low' | L48: m={'actual_nearest_bin_deg':b,'actual_common_phase_deg':phase,'actual_common_phase_error_deg':e,'selected_power':selected,'x_input_cross_leak_power':xcross,'y_input_x_leak_power':yx,'y_input_y_leak_power':yy,'blocked_inp | L57: return {'dimer_case_id':row.get('dimer_case_id',''),'original_static_bin_deg':get_bin(row),'actual_nearest_bin_deg':str(m['actual_nearest_bin_deg']),'actual_common_phase_deg':fmt(m['actual_common_phase_deg']),'actual_com | L58: FIELDS=['dimer_case_id','original_static_bin_deg','actual_nearest_bin_deg','actual_common_phase_deg','actual_common_phase_error_deg','t_xx_amp','t_xx_phase_deg','t_yx_amp','t_yx_phase_deg','t_xy_amp','t_xy_phase_deg','t_ | L77: lines=['# Stage11-2B Revised H500 Dimer Actual Common-Phase 6-bin Summary','','Bins are assigned from selected-channel actual common phase angle(t_xx). Projection quality is judged against t*exp(i phi)*|x><x|.','','| bin | L80: lines.append(f""| {b} | {len(sub)} | {best['dimer_case_id'] if best else ''} | {best['projection_selectivity_ratio'] if best else ''} | {best['selected_power'] if best else ''} | {best['selected_polarization_purity'] if b | L82: usable=[r for r in rows if r['actual_dimer_status'].startswith('actual_dimer_usable')]; missed=[r for r in rows if r['actual_dimer_status']=='high_selectivity_common_phase_missed']; broken=[r for r in rows if r['failure_"
scripts\stage11_lp_apcd_repaired_tuple_search_stage11_3b3.py,.py,dipole;power,"L116: ""Tx"": flt(row_value(row, ""Tx"", ""target_conversion"", ""selected_x_power""), 0.0), | L285: ""- Analysis only. No FDTD, no Lumerical, no K=6/metagrating, no finite patch, no dipole, no DBR/RCLED."","
scripts\stage11_lp_apcd_run_h500_120_y_pair_micro_rescue_stage11_2h.py,.py,power,"L31: ""static_target_x_power"": """", | L32: ""static_leak_y_power"": """","
scripts\stage11_lp_apcd_run_h500_dimer_120_240_refine_stage11_2f.py,.py,power,"L31: ""static_target_x_power"": """", | L32: ""static_leak_y_power"": """","
scripts\stage11_lp_apcd_run_h500_dimer_240_fine_pull_stage11_2e.py,.py,power,"L10: def map_row(r): return {**r,'bin_deg':r['target_actual_bin_deg'],'static_output_phase_deg':r['target_actual_bin_deg'],'static_predicted_ratio':'','static_phase_error_deg':'','static_target_x_power':'','static_leak_y_powe"
scripts\stage11_lp_apcd_run_h500_dimer_alt_patch_stage11_2c.py,.py,power,"L10: def map_row(r): return {**r,'bin_deg':r['target_actual_bin_deg'],'static_output_phase_deg':r['target_actual_bin_deg'],'static_predicted_ratio':'','static_phase_error_deg':'','static_target_x_power':'','static_leak_y_powe"
scripts\stage11_lp_apcd_run_h500_dimer_fdtd_stage11_2a.py,.py,addfdtd;transmission;run(;power;monitor;dimension;mesh accuracy;PML,"L29: SUMMARY_FIELDS = [""dimer_case_id"", ""polarization"", ""t_co"", ""t_cross"", ""transmission"", ""status"", ""fsp"", ""note""] | L34: ""target_x_power"", ""x_input_cross_leak_power"", ""y_input_total_leak_power"", ""polarization_purity_x"", | L83: def safe_transmission(fdtd: object) -> float: | L84: value = fdtd.transmission(""T"") | L93: value = fdtd.getdata(""field_monitor"", key) | L108: total = safe_transmission(fdtd) | L168: fdtd.addfdtd() | L169: fdtd.set(""dimension"", ""3D"")"
scripts\stage11_lp_apcd_run_h500_dimer_final_gap_stage11_2d.py,.py,power,"L10: def map_row(r): return {**r,'bin_deg':r['target_actual_bin_deg'],'static_output_phase_deg':r['target_actual_bin_deg'],'static_predicted_ratio':'','static_phase_error_deg':'','static_target_x_power':'','static_leak_y_powe"
scripts\stage11_lp_apcd_run_h500_dimer_placement_patch_stage11_2b.py,.py,power,"L10: def map_row(row): return {**row,'dimer_case_id':row['dimer_patch_id'],'bin_deg':row['target_actual_bin_deg'],'static_output_phase_deg':row['target_actual_bin_deg'],'static_predicted_ratio':'','static_phase_error_deg':'',"
scripts\stage11_lp_apcd_run_j1_identity_fdtd_pilot.py,.py,addfdtd;transmission;run(;power;monitor;dimension;mesh accuracy;PML,"L58: ""transmission"", | L111: monitor_z = height + 350 * nm | L116: fdtd.addfdtd() | L117: fdtd.set(""dimension"", ""3D"") | L126: fdtd.set(""z min bc"", ""PML"") | L127: fdtd.set(""z max bc"", ""PML"") | L128: fdtd.set(""mesh accuracy"", 2) | L144: fdtd.addpower()"
scripts\stage11_lp_apcd_run_j2_hwp_fdtd_pilot.py,.py,addfdtd;transmission;run(;power;monitor;dimension;mesh accuracy;PML,"L58: SUMMARY_FIELDS = [""candidate_id"", ""polarization"", ""transmission"", ""phase_rad"", ""phase_deg"", ""status"", ""fsp"", ""note""] | L105: monitor_z = height + 350 * nm | L109: fdtd.addfdtd() | L110: fdtd.set(""dimension"", ""3D"") | L119: fdtd.set(""z min bc"", ""PML"") | L120: fdtd.set(""z max bc"", ""PML"") | L121: fdtd.set(""mesh accuracy"", 2) | L144: fdtd.addpower()"
scripts\stage11_lp_apcd_run_targeted_patch_fdtd_stage11_1d.py,.py,addfdtd;transmission;run(;power;monitor;dimension;mesh accuracy;PML,"L29: SUMMARY_FIELDS = [""candidate_id"", ""role"", ""polarization"", ""transmission"", ""phase_rad"", ""phase_deg"", ""status"", ""fsp"", ""note""] | L137: monitor_z = height + 350 * nm | L141: fdtd.addfdtd() | L142: fdtd.set(""dimension"", ""3D"") | L151: fdtd.set(""z min bc"", ""PML"") | L152: fdtd.set(""z max bc"", ""PML"") | L153: fdtd.set(""mesh accuracy"", 2) | L172: fdtd.addpower()"
scripts\stage11_lp_apcd_select_h500_dimer_120_240_refine_pairs_stage11_2f.py,.py,power,"L43: ""static_target_x_power"", | L44: ""static_leak_y_power"", | L138: ""static_target_x_power"": pair.get(""target_x_power"", """"), | L139: ""static_leak_y_power"": pair.get(""leak_y_power"", """"), | L164: and flt(row.get(""target_x_power"")) >= 0.20 | L193: flt(p.get(""leak_y_power""), 999), | L203: flt(p.get(""leak_y_power""), 999), | L262: flt(p.get(""leak_y_power""), 999),"
scripts\stage11_lp_apcd_select_h500_dimer_alt_pairs_stage11_2c.py,.py,power,"L13: FIELDS=['alt_pair_id','target_actual_bin_deg','source_pair_id','static_original_bin_deg','j1_candidate_id','j2_candidate_id','height_nm','j1_shape_family','j1_geometry_params','j2_length_nm','j2_width_nm','static_predict | L67: pairs=[r for r in read_csv(PAIR_CSV) if f(r.get('j1_height_nm'))==500 and f(r.get('j2_height_nm'))==500 and r.get('same_height_pair')=='true' and f(r.get('predicted_ratio'))>=6 and f(r.get('target_x_power'))>=0.15] | L73: leak=f(r.get('leak_y_power'),999) | L93: rows.append({'alt_pair_id':f'ALT2C_B{target}_{count+1:02d}','target_actual_bin_deg':str(target),'source_pair_id':r['pair_id'],'static_original_bin_deg':r.get('target_phase_bin_deg',''),'j1_candidate_id':r['j1_candidate_i | L107: rows.append({'alt_pair_id':f'ALT2C_B300_{count+1:02d}','target_actual_bin_deg':'300','source_pair_id':r['pair_id'],'static_original_bin_deg':r.get('target_phase_bin_deg',''),'j1_candidate_id':r['j1_candidate_id'],'j2_can"
scripts\stage11_lp_apcd_select_h500_dimer_final_gap_pairs_stage11_2d.py,.py,power,"L11: FIELDS=['final_gap_pair_id','target_actual_bin_deg','source_pair_id','static_original_bin_deg','j1_candidate_id','j2_candidate_id','height_nm','j1_shape_family','j1_geometry_params','j2_length_nm','j2_width_nm','static_p | L52: pairs=[r for r in read_csv(PAIR_CSV) if f(r.get('j1_height_nm'))==500 and f(r.get('j2_height_nm'))==500 and r.get('same_height_pair')=='true' and f(r.get('predicted_ratio'))>=6 and f(r.get('target_x_power'))>=0.15] | L55: phase=abs(((f(r.get('output_phase_deg'))-target+180)%360)-180); mismatch=f(r.get('s1_s2_phase_mismatch_deg'),999); amp=abs(1-f(r.get('s1_s2_amp_ratio'),0)); leak=f(r.get('leak_y_power'),999); ratio=f(r.get('predicted_rat | L70: rows.append({'final_gap_pair_id':f'FG2D_B{target}_{count+1:02d}','target_actual_bin_deg':str(target),'source_pair_id':r['pair_id'],'static_original_bin_deg':r.get('target_phase_bin_deg',''),'j1_candidate_id':r['j1_candid"
scripts\stage11_lp_apcd_spectral_data_inventory_stage11_3b0.py,.py,farfield;run(;monitor,"L14: EXCLUDED = [""outputs/"", ""*.fsp"", ""*.ldf"", ""*.log"", ""*monitor*"", ""*farfield*"", ""*far_field*"", ""*fielddump*"", ""*dump*""] | L53: proc = subprocess.run([""git"", ""ls-files""], cwd=REPO_ROOT, text=True, stdout=subprocess.PIPE, stderr=subprocess.PIPE, check=True) | L64: if any(token in text for token in ["".fsp"", "".ldf"", "".log"", ""monitor"", ""farfield"", ""far_field"", ""fielddump"", ""dump""]): | L104: if any(token in lowered for token in [""outputs/"", ""outputs\\"", "".fsp"", "".ldf"", "".log"", ""monitor"", ""farfield"", ""far_field"", ""fielddump"", ""dump""]):"
scripts\stage11_lp_apcd_spectral_rescue_stage11_3b2.py,.py,dipole;power,"L183: row.setdefault(""static_target_x_power"", """") | L184: row.setdefault(""static_leak_y_power"", """") | L315: ""- No K=6/metagrating, finite patch, dipole source, DBR, RCLED, H600/H700, or Stage10 CP modification."", | L354: print(""boundary=h500_lp_single_dimer_449_450_451_rescue_only_no_k6_no_stage10_cp_no_finite_patch_no_dipole_no_dbr_no_rcled"")"
scripts\stage11_lp_apcd_spectral_robust_phase_library_audit_stage11_3a.py,.py,dipole;power;monitor,"L154: tx = first_float(row, [""Tx"", ""selected_x_power"", ""target_x_power"", ""target_conversion""]) | L155: leakage = first_float(row, [""blocked_y_leakage"", ""leakage"", ""opposite_spin_or_yLP_leakage"", ""estimated_leakage"", ""blocked_y_total_leakage"", ""y_input_total_leak_power""]) | L214: slot[f""Tx_{wl}""] = first_float(row, [""Tx"", ""target_conversion"", ""selected_x_power"", ""target_x_power""]) | L215: slot[f""leakage_{wl}""] = first_float(row, [""blocked_y_total_leakage"", ""blocked_y_leakage"", ""leakage"", ""y_input_total_leak_power""]) | L294: return ""monitor_120_secondary_risk"" | L442: ""DBR/dipole Stage13 should wait unless we deliberately proceed under an ultra-narrowband 450-nm RCLED assumption."", | L463: ""Boundaries: read-only/planning only in Stage11-3A; no FDTD, no K6, no DBR, no RCLED, no dipoles, no finite patch, and no optimization were performed."", | L486: print(""boundary=read_only_planning_only_no_fdtd_no_k6_no_dbr_no_rcled_no_dipoles_no_finite_patch_no_optimization"")"
scripts\stage11_lp_hnew_fixed_height_scout_stage11_4a1.py,.py,dipole;power,"L140: ""static_target_x_power"": """", | L141: ""static_leak_y_power"": """", | L369: print(""boundary=H600_H650_all_bins_H700_240_300_only_no_K6_no_patch_no_dipole_no_DBR_no_RCLED_no_H500_rescue"")"
scripts\stage12_10a_h500_lp_240bin_single_dimer_refinement.py,.py,dipole,"L23: print(""boundary=single_dimer_only_no_k6_no_dipoles_no_cp_no_ygradient_no_h600_h700"")"
scripts\stage12_10b_h500_lp_240bin_broad_family_scout.py,.py,dipole,"L23: print(""boundary=single_dimer_only_no_k6_no_dipoles_no_cp_no_ygradient_no_h600_h700"")"
scripts\stage12_10c_h500_lp_180bin_single_dimer_refinement.py,.py,dipole,"L19: print(""boundary=single_dimer_only_no_k6_no_dipoles_no_cp_no_ygradient_no_h600_h700"")"
scripts\stage12_10d_h500_lp_300bin_single_dimer_refinement.py,.py,dipole,"L19: print(""boundary=single_dimer_only_no_k6_no_dipoles_no_cp_no_ygradient_no_h600_h700"")"
scripts\stage12_11a_h500_lp_k6_phase_origin_search.py,.py,dipole,"L14: print(""boundary=read_only_no_fdtd_no_k6_no_dipoles_no_cp_no_ygradient_no_h600_h700"")"
scripts\stage12_11b_h500_lp_k6_shifted_tuple_fdtd.py,.py,dipole,"L39: print(""boundary=k6_plane_wave_only_no_dipoles_no_cp_no_ygradient_no_h600_h700_no_reverse"")"
scripts\stage12_12a2_h500_lp_6bin_narrow_window_acceptance.py,.py,dipole,"L22: print(""boundary=read_only_no_fdtd_no_k6_no_dbr_no_rcled_no_dipoles_no_finite_patch_no_optimization"")"
scripts\stage12_12a_h500_lp_6bin_spectral_audit.py,.py,dipole,"L32: print(""boundary=single_dimer_spectral_audit_only_no_k6_no_dbr_no_rcled_no_dipoles_no_finite_patch_no_optimization"")"
scripts\stage12_2_h500_lp_k6_forward_minimal_fdtd.py,.py,farfield;power,"L16: ORDER_POWER_FIELDS, | L27: write_farfield_audit, | L71: write_csv_rows(order_rows, OUT / ""stage12_2_k6_forward_order_power.csv"", ORDER_POWER_FIELDS) | L72: print(f""done={row['run_id']} status={result['fdtd_status']} dominant={result.get('dominant_order_n','')} plus1={result.get('target_plus1_power','')}"") | L75: write_farfield_audit(OUT / ""stage12_2_k6_forward_farfield_audit.md"", result_rows, selectivity_rows) | L78: print(f""effective_target_power={metrics.get('effective_target_power')}"") | L81: print(f""overall_farfield_audit_pass={metrics.get('overall_farfield_audit_pass')}"")"
scripts\stage12_3_h500_lp_k6_order_resolved_audit.py,.py,transmission;power,"L38: order_rows = read_csv_rows(args.input_dir / ""stage12_2_k6_forward_order_power.csv"") | L57: print(f""total_transmission_selectivity_ratio={metric_map['total_transmission_selectivity_ratio']}"")"
scripts\stage12_8_h500_lp_k6_xgrad_refinement.py,.py,dipole,"L15: print(""boundary=plane_wave_only_no_dipoles_no_cp_no_ygradient_no_h600_h700"")"
scripts\stage12_9_h500_lp_k6_xgrad_leakage_cancellation.py,.py,dipole,"L33: print(""boundary=plane_wave_only_no_dipoles_no_cp_no_ygradient_no_h600_h700_no_reverse"")"
scripts\stage12_lp_k6_450nm_farfield_visualization.py,.py,dipole;farfield,"L10: from metasurface.stage12_lp_k6_farfield_visualization import OUTPUT_DIR_NAME, Stage12LPVizPaths, run_stage12_lp_k6_visualization | L23: print(""boundary=read_only_postprocessing_no_fdtd_no_new_fsp_no_k6_rerun_no_dbr_no_rcled_no_dipole_no_finite_patch_no_optimization"")"
scripts\stage_mdc1a_make_freeze_report.py,.py,monitor,"L81: md.append(""- `.fsp`, `.ldf`, `.mat`, `.h5`, `.npy`, `.npz`, raw monitor data, runtime folders.\n"")"
scripts\stage_mdc1c1_make_negative_decision_report.py,.py,dipole,"L33: md.append(""Use FMMAX only as a minimal single-dipole sanity/closure check, then use 2D FDTD for center/side incoherent averaging.\n"")"
scripts\stage_mdc1c1_rcwa_property_probe.py,.py,transmission;setnamed,"L116: (""transmission medium"", ""Air""), | L126: set_ok, _ = try_call(rows, f""set RCWA.{prop}"", lambda p=prop, v=value: fdtd.setnamed(RCWA_OBJECT, p, v))"
